PREMISE_SERIALIZED,SUBJECT,PREDICATE,OBJECT
"[['Water quality', 'Generates', 'Environmental damage']]",Water quality,Generates,Environmental damage
"[['Evacuation of residents', 'Reduces', 'Loss of life']]",Evacuation of residents,Reduces,Loss of life
"[['Railroads damage', 'is a type of', 'Property damage']]",Railroads damage,is a type of,Property damage
"[['Alerts', 'Issued to', 'Sirens']]",Alerts,Issued to,Sirens
"[['Evacuation of residents', 'Reduces', 'Health and safety risks']]",Evacuation of residents,Reduces,Health and safety risks
"[['Alerts', 'Notify', 'Government authorities']]",Alerts,Notify,Government authorities
"[['Vehicles damage', 'is a type of', 'Property damage']]",Vehicles damage,is a type of,Property damage
"[['Bridge damage', 'is a type of', 'Property damage']]",Bridge damage,is a type of,Property damage
"[['Homes damage', 'is a type of', 'Property damage']]",Homes damage,is a type of,Property damage
"[['Environmental damage', 'Leads to', 'Loss of life']]",Environmental damage,Leads to,Loss of life
"[['Detention ponds', 'is a type of', 'Stormwater basin']]",Detention ponds,is a type of,Stormwater basin
"[['Retention ponds', 'is a type of', 'Stormwater basin']]",Retention ponds,is a type of,Stormwater basin
"[['Alerts', 'Issued to', 'Television announcements']]",Alerts,Issued to,Television announcements
"[['Water quality', 'Generates', 'Soil erosion']]",Water quality,Generates,Soil erosion
"[['Buildings damage', 'is a type of', 'Property damage']]",Buildings damage,is a type of,Property damage
"[['Alerts', 'Notify', 'General public']]",Alerts,Notify,General public
"[['Alerts', 'Notify', 'Emergencies response agencies']]",Alerts,Notify,Emergencies response agencies
"[['Detention ponds', 'Uses', 'Sensors']]",Detention ponds,Uses,Sensors
"[['Alerts', 'Issued to', 'Emergency radio broadcasts']]",Alerts,Issued to,Emergency radio broadcasts
"[['Emergency radio broadcasts', 'is a type of', 'Communication channels']]",Emergency radio broadcasts,is a type of,Communication channels
"[['Alerts', 'Issued to', 'Communication channels']]",Alerts,Issued to,Communication channels
"[['Emergencies response agencies', 'is a type of', 'General public']]",Emergencies response agencies,is a type of,General public
"[['Hydrological monitoring system', 'Generates', 'Alerts']]",Hydrological monitoring system,Generates,Alerts
"[['Alerts', 'Notify', 'People']]",Alerts,Notify,People
"[['Soil erosion', 'is a type of', 'Environmental damage']]",Soil erosion,is a type of,Environmental damage
"[['Alerts', 'Issued to', 'Social media notification']]",Alerts,Issued to,Social media notification
"[['Hydrological monitoring system', 'Addresses', 'Health and safety risks']]",Hydrological monitoring system,Addresses,Health and safety risks
"[['Alerts', 'Issued to', 'Dedicated smartphone app']]",Alerts,Issued to,Dedicated smartphone app
"[['Retention ponds', 'Uses', 'Sensors']]",Retention ponds,Uses,Sensors
"[['Alerts', 'Issued to', 'Mobile phone messages']]",Alerts,Issued to,Mobile phone messages
"[['Consumer cameras', 'is a type of', 'Cameras']]",Consumer cameras,is a type of,Cameras
"[['Dam', 'Provides', 'Irrigation']]",Dam,Provides,Irrigation
"[['Government authorities', 'is a type of', 'General public']]",Government authorities,is a type of,General public
"[['Remote cameras', 'is a type of', 'Cameras']]",Remote cameras,is a type of,Cameras
"[['Sirens', 'is a type of', 'Communication channels']]",Sirens,is a type of,Communication channels
"[['Environmental damage', 'Leads to', 'Health and safety risks']]",Environmental damage,Leads to,Health and safety risks
"[['Mobile phone messages', 'is a type of', 'Communication channels']]",Mobile phone messages,is a type of,Communication channels
"[['Sensors', 'Measure', 'Heavy rainfall']]",Sensors,Measure,Heavy rainfall
"[['Retention ponds', 'Improve', 'Water quality']]",Retention ponds,Improve,Water quality
"[['Weather prediction', 'Anticipates', 'Heavy rainfall']]",Weather prediction,Anticipates,Heavy rainfall
"[['Weather forecasting system', 'Anticipates', 'Heavy rainfall']]",Weather forecasting system,Anticipates,Heavy rainfall
"[['Sensors', 'Measure', 'Streamflow']]",Sensors,Measure,Streamflow
"[['Dedicated smartphone app', 'is a type of', 'Communication channels']]",Dedicated smartphone app,is a type of,Communication channels
"[['Remote cameras', 'Generate', 'Data']]",Remote cameras,Generate,Data
"[['Data', 'Reflects', 'Water quality']]",Data,Reflects,Water quality
"[['Social media notification', 'is a type of', 'Communication channels']]",Social media notification,is a type of,Communication channels
"[['Sensors', 'Measure', 'Water quality']]",Sensors,Measure,Water quality
"[['Cameras', 'Generate', 'Data']]",Cameras,Generate,Data
"[['Hydrological monitoring system', 'Analyzes', 'Data']]",Hydrological monitoring system,Analyzes,Data
"[['Consumer cameras', 'Generate', 'Data']]",Consumer cameras,Generate,Data
"[['Weather forecasting system', 'Uses', 'Sensors']]",Weather forecasting system,Uses,Sensors
"[['Hydrological monitoring system', 'Uses', 'Sensors']]",Hydrological monitoring system,Uses,Sensors
"[['People', 'is a type of', 'General public']]",People,is a type of,General public
"[['Sensors', 'Measure', 'Soil moisture']]",Sensors,Measure,Soil moisture
"[['Sensors', 'Measure', 'Water level']]",Sensors,Measure,Water level
"[['Weather forecasting system', 'Analyzes', 'Data']]",Weather forecasting system,Analyzes,Data
"[['Sensors', 'Generate', 'Data']]",Sensors,Generate,Data
"[['Snowfall', 'Causes', 'Snowmelt']]",Snowfall,Causes,Snowmelt
"[['Hydrological monitoring system', 'Assesses', 'Water quality']]",Hydrological monitoring system,Assesses,Water quality
"[['Television announcements', 'is a type of', 'Communication channels']]",Television announcements,is a type of,Communication channels
"[['Weather forecasting system', 'Generates', 'Forecasting']]",Weather forecasting system,Generates,Forecasting
"[['Weather forecasting system', 'is a type of', 'Weather prediction']]",Weather forecasting system,is a type of,Weather prediction
"[['Weather forecasting system', 'Anticipates', 'Snowfall']]",Weather forecasting system,Anticipates,Snowfall
"[['Weather prediction', 'Anticipates', 'Snowfall']]",Weather prediction,Anticipates,Snowfall
